Registration No,Name,Preferred Course,UTME,Post-UTME,English,Maths,Physics,Chemistry,Biology,Agric,Civic Education,Geography,Economics,Government,Literature,admitted_department
REG2025_1387,Uche Abubakar,Applied Physics,251,79,B2,A1,C4,C4,C6,C4,C5,B3,C6,B2,C6,Applied Physics
REG2025_1388,Aisha Abubakar,Mathematics and Statistics,209,66,B2,C6,C6,B3,C5,B2,C5,C6,B2,B2,A1,Mathematics and Statistics
REG2025_1389,Ifeanyi Balogun,Applied Physics,218,68,B2,C6,B3,C5,C5,C5,B2,B2,C4,C6,A1,Applied Physics
REG2025_1390,Blessing Okoro,Industrial Chemistry,229,73,B2,C5,B3,C4,C5,A1,A1,C5,C4,C5,B3,-
REG2025_1391,Ifeanyi Okoro,Industrial Chemistry,211,65,A1,C6,B2,C5,C5,C4,C5,C5,B3,A1,C6,Mathematics and Statistics
REG2025_1392,Ngozi Okoro,Plant Science and Biotechnology,180,41,E8,B3,E8,E8,F9,C4,B2,C4,B2,A1,C4,Plant Science and Biotechnology
REG2025_1393,Seun Okonkwo,Biochemistry,225,71,B2,C4,A1,C6,C5,C6,C4,C5,B2,C6,C6,Biochemistry
REG2025_1394,Zainab Okonkwo,Mathematics and Statistics,213,73,A1,C4,B3,C4,C4,C6,B2,C5,B3,C4,C6,Mathematics and Statistics
REG2025_1395,Funmi Chukwu,Mathematics and Statistics,242,77,B3,B2,C5,A1,C5,B3,C4,C4,C4,B3,B3,Mathematics and Statistics
REG2025_1396,Zainab Okoro,Physics,244,75,B3,B3,C5,C4,C6,B3,C4,B2,B3,A1,A1,Physics
REG2025_1397,Blessing Abubakar,Physics,247,75,A1,B3,C5,A1,B3,C4,B3,B2,C6,C6,C4,Animal and Environmental Biology
REG2025_1398,Seun Chukwu,Computer Science,241,74,B2,C5,B2,C4,B3,C5,A1,B3,B3,B3,C5,Microbiology
REG2025_1399,Seun Adeyemi,Microbiology,242,79,B3,C6,C6,B3,A1,B2,C6,C5,C5,C6,B2,Microbiology
REG2025_1400,Aisha Abubakar,Mathematics and Statistics,149,36,D7,C4,D7,E8,F9,C4,C4,B3,C4,C6,C6,Plant Science and Biotechnology
REG2025_1401,Seun Adeyemi,Animal and Environmental Biology,215,69,C5,C4,C4,C5,C5,C6,C6,B2,C6,A1,C4,-
REG2025_1402,Blessing Chukwu,Industrial Chemistry,237,67,C5,C6,A1,C5,B2,B2,B3,B2,A1,C6,A1,Plant Science and Biotechnology
REG2025_1403,Zainab Abubakar,Biochemistry,250,76,B2,B3,A1,C6,C6,C5,C6,A1,C4,C6,A1,Animal and Environmental Biology
REG2025_1404,Uche Muhammed,Mathematics and Statistics,191,58,D7,C5,F9,F9,E8,C6,C4,B2,C5,B3,C5,Animal and Environmental Biology
REG2025_1405,Chika Abubakar,Physics,171,48,D7,C5,F9,D7,E8,C4,C4,C6,B3,C5,B3,Applied Physics
REG2025_1406,Tunde Muhammed,Computer Science,240,70,B3,A1,A1,C6,A1,C6,C5,A1,B3,C6,C4,Plant Science and Biotechnology
REG2025_1407,Ifeanyi Adewale,Animal and Environmental Biology,253,78,B3,C6,A1,C4,B3,B2,C4,C6,B3,A1,B3,Plant Science and Biotechnology
REG2025_1408,Zainab Okoro,Plant Science and Biotechnology,220,63,C6,A1,C6,C5,B3,C6,C5,B2,A1,B3,C6,Plant Science and Biotechnology
REG2025_1409,Blessing Balogun,Applied Physics,147,46,F9,C6,E8,D7,E8,B3,A1,B2,B2,C6,A1,Applied Physics
REG2025_1410,Uche Chukwu,Plant Science and Biotechnology,228,67,A1,C4,C6,B2,B3,A1,A1,A1,C6,C4,B2,Plant Science and Biotechnology
REG2025_1411,Seun Adeyemi,Animal and Environmental Biology,197,47,F9,C4,D7,D7,D7,B2,C4,A1,A1,C6,B3,Plant Science and Biotechnology
REG2025_1412,Ifeanyi Okoro,Plant Science and Biotechnology,212,60,A1,C5,A1,A1,B2,C6,B3,B2,C6,C6,B3,Plant Science and Biotechnology
REG2025_1413,Ifeanyi Adewale,Industrial Chemistry,241,77,C6,C4,B2,A1,C4,C4,B3,C5,C4,B2,C4,Mathematics and Statistics
REG2025_1414,Uche Muhammed,Biochemistry,159,47,D7,B3,E8,D7,D7,B2,C4,B3,C4,C4,A1,Biochemistry
REG2025_1415,Blessing Chukwu,Physics,176,43,E8,C5,E8,F9,E8,C6,C6,A1,A1,C6,C6,Physics
REG2025_1416,Tunde Balogun,Plant Science and Biotechnology,241,78,C6,B3,B2,B3,C6,C6,A1,B2,C5,C5,B2,Plant Science and Biotechnology
REG2025_1417,Blessing Okoro,Applied Physics,124,57,E8,C6,D7,F9,F9,C6,B2,A1,B3,C4,B3,Applied Physics
REG2025_1418,Seun Adewale,Animal and Environmental Biology,246,75,C5,B2,B2,C6,C5,C6,C6,B3,C5,C5,A1,Animal and Environmental Biology
REG2025_1419,Funmi Okoro,Computer Science,244,78,C5,C6,B2,C6,C5,B3,C6,C5,B3,C6,B3,Computer Science
REG2025_1420,Tunde Muhammed,Applied Physics,238,74,A1,B2,A1,B3,C6,A1,C6,C4,C4,C5,C5,-
REG2025_1421,Ngozi Balogun,Biochemistry,253,79,B2,B3,C4,B3,A1,B2,A1,C6,A1,B3,C5,-
REG2025_1422,Uche Ibrahim,Microbiology,243,72,C6,C6,B3,A1,A1,A1,C4,C6,A1,B3,B3,Animal and Environmental Biology
REG2025_1423,Ngozi Adewale,Applied Physics,232,70,C5,C5,C4,B3,B3,C4,C5,C4,C6,C4,B2,-
REG2025_1424,Chika Adewale,Industrial Chemistry,223,69,C4,B2,C5,C4,C6,A1,B3,C4,B2,A1,B3,Industrial Chemistry
REG2025_1425,Aisha Abubakar,Microbiology,232,79,C6,B3,B3,A1,A1,B2,B3,C4,B3,C5,B3,Microbiology
REG2025_1426,Ngozi Muhammed,Animal and Environmental Biology,203,64,B3,A1,B2,C4,C5,C4,A1,C5,C4,B3,C5,-
REG2025_1427,Chika Ojo,Plant Science and Biotechnology,252,76,C6,C6,C5,B3,B2,A1,C5,A1,B2,C5,C6,Plant Science and Biotechnology
REG2025_1428,Ifeanyi Balogun,Industrial Chemistry,226,69,C6,C4,A1,C4,C5,B3,C4,C5,C5,C6,C6,Industrial Chemistry
REG2025_1429,Ngozi Adewale,Mathematics and Statistics,179,37,D7,B2,D7,D7,E8,B2,C6,B3,C5,A1,A1,-
REG2025_1430,Aisha Adewale,Plant Science and Biotechnology,227,62,C5,B3,B2,B2,C6,C6,A1,B2,B3,C5,C5,Plant Science and Biotechnology
REG2025_1431,Funmi Okoro,Computer Science,257,76,C5,C5,B2,C6,C4,C5,B3,A1,C4,C4,A1,Computer Science
REG2025_1432,Ifeanyi Adewale,Biochemistry,252,76,C6,C6,C6,C4,C5,C4,C4,B3,B3,C6,B3,Biochemistry
REG2025_1433,Ngozi Chukwu,Mathematics and Statistics,215,74,C5,C5,A1,C6,B2,C4,A1,C6,C6,B2,C5,Plant Science and Biotechnology
REG2025_1434,Blessing Adeyemi,Plant Science and Biotechnology,201,62,C6,B3,C5,A1,C5,C5,B3,C6,C6,B2,C4,-
REG2025_1435,Aisha Abubakar,Computer Science,149,32,F9,C4,F9,F9,F9,C6,C4,B3,C6,C6,B3,Computer Science
REG2025_1436,Funmi Chukwu,Applied Physics,240,75,C5,C4,C6,B3,C4,B3,C6,C4,C5,C6,C4,Applied Physics
REG2025_1437,Uche Abubakar,Industrial Chemistry,137,37,F9,C5,D7,E8,D7,B3,C5,B3,B3,C4,C6,Industrial Chemistry
REG2025_1438,Uche Okoro,Plant Science and Biotechnology,138,37,E8,B3,D7,F9,D7,C6,A1,B2,A1,B3,C5,Plant Science and Biotechnology
REG2025_1439,Chika Adewale,Microbiology,144,50,F9,A1,D7,E8,E8,A1,C5,B3,A1,C4,A1,Microbiology
REG2025_1440,Aisha Ibrahim,Biochemistry,245,76,C4,C5,B3,B3,C6,B2,A1,B3,B3,B2,C6,Biochemistry
REG2025_1441,Blessing Adeyemi,Plant Science and Biotechnology,244,76,B2,B3,A1,C6,C4,B2,C6,C5,C6,B3,A1,-
REG2025_1442,Chika Okoro,Physics,246,75,B2,A1,C6,B2,B3,C5,A1,C5,C4,A1,B2,Physics
REG2025_1443,Uche Ojo,Applied Physics,238,68,B2,A1,B3,B3,A1,C6,B3,C5,C5,A1,C4,Mathematics and Statistics
REG2025_1444,Funmi Adeyemi,Applied Physics,190,46,F9,B2,E8,E8,E8,B2,C5,B3,C5,A1,B2,Mathematics and Statistics
REG2025_1445,Chika Muhammed,Computer Science,259,77,C5,C6,C6,C6,C4,C5,C5,B3,B3,B3,A1,Applied Physics
REG2025_1446,Uche Muhammed,Biochemistry,241,76,C5,C5,C4,A1,A1,B2,C5,C6,B2,C5,B2,Biochemistry
REG2025_1447,Tunde Adewale,Plant Science and Biotechnology,240,78,B2,C4,C4,C4,B2,C5,C6,A1,C4,A1,B3,Plant Science and Biotechnology
REG2025_1448,Ngozi Muhammed,Applied Physics,247,76,C6,A1,B3,C4,B3,C4,B2,C6,C5,A1,A1,Applied Physics
REG2025_1449,Blessing Muhammed,Applied Physics,148,52,E8,B3,D7,E8,E8,B3,C5,A1,C5,B3,B2,Applied Physics
REG2025_1450,Ifeanyi Muhammed,Applied Physics,251,78,C5,C6,C6,C6,B2,B3,C4,A1,B2,C6,B3,Applied Physics
REG2025_1451,Funmi Balogun,Computer Science,243,72,C5,C4,C6,A1,C4,C5,B3,C5,A1,C5,C5,-
REG2025_1452,Blessing Okoro,Plant Science and Biotechnology,180,44,F9,B2,E8,E8,D7,C5,B2,B3,B2,B3,C5,Plant Science and Biotechnology
REG2025_1453,Tunde Balogun,Physics,239,76,C4,B2,C6,B3,C5,C5,A1,A1,C6,C4,C4,Plant Science and Biotechnology
REG2025_1454,Zainab Balogun,Physics,224,77,C5,C5,A1,A1,C4,B3,C6,C5,B3,C4,A1,-
REG2025_1455,Blessing Muhammed,Plant Science and Biotechnology,214,62,C6,C5,C4,C4,B3,C4,C4,B3,B3,B3,C4,Plant Science and Biotechnology
REG2025_1456,Funmi Adewale,Plant Science and Biotechnology,225,67,C4,A1,B2,C4,C6,C4,A1,C5,C5,A1,C5,Plant Science and Biotechnology
REG2025_1457,Tunde Abubakar,Physics,250,78,C5,B3,A1,C5,B2,C5,A1,C5,B2,B3,C5,-
REG2025_1458,Funmi Ojo,Plant Science and Biotechnology,186,48,F9,C5,E8,F9,E8,A1,C6,B3,C4,C6,A1,Plant Science and Biotechnology
REG2025_1459,Uche Ibrahim,Plant Science and Biotechnology,247,76,B2,C6,C6,C5,B2,B2,C5,C6,C5,A1,B3,Plant Science and Biotechnology
REG2025_1460,Tunde Adeyemi,Microbiology,237,78,C6,B3,C5,B2,C5,B3,C4,C4,C5,C5,A1,Biochemistry
REG2025_1461,Ifeanyi Adewale,Animal and Environmental Biology,193,32,E8,B3,D7,D7,F9,B2,C6,B2,A1,C5,C6,Animal and Environmental Biology
REG2025_1462,Uche Ibrahim,Applied Physics,253,76,B3,A1,B2,C4,C5,C4,C6,B3,C6,C5,C6,Applied Physics
REG2025_1463,Blessing Abubakar,Computer Science,240,83,C4,C5,A1,A1,C4,B2,A1,C4,C5,B3,C5,Animal and Environmental Biology
REG2025_1464,Aisha Adewale,Physics,228,74,C5,B3,B3,C4,A1,B3,C6,C4,B2,C5,C6,Physics
REG2025_1465,Ngozi Muhammed,Microbiology,130,53,F9,C5,F9,E8,D7,C5,C6,A1,C4,C4,B3,Plant Science and Biotechnology
REG2025_1466,Ifeanyi Okoro,Applied Physics,246,78,C6,B2,C6,A1,C4,C4,B2,B3,A1,B3,C6,Applied Physics
REG2025_1467,Uche Balogun,Industrial Chemistry,225,73,A1,C4,C6,C5,A1,B2,C5,A1,C5,C5,C4,Mathematics and Statistics
REG2025_1468,Ngozi Abubakar,Computer Science,258,76,C4,C5,C4,C4,C4,C4,C5,B3,C4,C6,A1,Plant Science and Biotechnology
REG2025_1469,Zainab Okonkwo,Animal and Environmental Biology,242,75,A1,C4,C4,C5,A1,C6,B3,C6,C6,B2,C6,Animal and Environmental Biology
REG2025_1470,Seun Abubakar,Plant Science and Biotechnology,227,68,C6,C6,C5,A1,A1,C6,A1,B2,A1,C6,C6,Plant Science and Biotechnology
REG2025_1471,Chika Okonkwo,Plant Science and Biotechnology,215,67,A1,B3,B2,B3,C6,A1,C5,A1,C5,C5,B2,Plant Science and Biotechnology
REG2025_1472,Chika Okoro,Plant Science and Biotechnology,221,62,A1,A1,B2,C6,A1,C5,C4,B3,B2,C5,C5,Plant Science and Biotechnology
REG2025_1473,Zainab Okonkwo,Biochemistry,246,78,A1,C4,B2,C5,B2,A1,C6,C6,C5,B3,C4,Biochemistry
REG2025_1474,Ifeanyi Ojo,Plant Science and Biotechnology,242,75,B3,B3,B2,B2,C5,A1,A1,A1,B3,B2,B3,Plant Science and Biotechnology
REG2025_1475,Funmi Okonkwo,Applied Physics,158,48,E8,C4,D7,F9,F9,A1,C5,C5,B2,C5,B2,Industrial Chemistry
REG2025_1476,Zainab Ibrahim,Animal and Environmental Biology,223,61,C4,B2,B2,A1,C6,C4,B2,C5,C6,B2,B2,Animal and Environmental Biology
REG2025_1477,Ngozi Adewale,Microbiology,258,77,C4,C4,C4,C6,B3,C6,B3,B3,C4,A1,C5,Microbiology
REG2025_1478,Seun Muhammed,Physics,235,71,B3,C5,C5,B3,C6,C5,C5,A1,C6,C4,C4,Physics
REG2025_1479,Ngozi Muhammed,Microbiology,252,73,C5,C5,C6,A1,B2,C4,C4,B2,C6,C4,B2,Applied Physics
REG2025_1480,Ngozi Abubakar,Applied Physics,136,30,E8,C4,F9,F9,F9,B2,B3,B3,B2,B2,A1,Applied Physics
REG2025_1481,Ngozi Muhammed,Mathematics and Statistics,252,76,C5,B2,C4,B2,C4,C4,C4,A1,A1,C6,C6,Mathematics and Statistics
REG2025_1482,Aisha Chukwu,Physics,233,68,A1,B2,B3,C6,B2,B2,B2,B3,A1,B2,C6,Plant Science and Biotechnology
REG2025_1483,Zainab Muhammed,Computer Science,232,72,C5,C5,C4,C6,A1,C6,C6,A1,C4,C5,B2,Computer Science
REG2025_1484,Zainab Chukwu,Animal and Environmental Biology,207,69,C5,B3,C4,C4,A1,B3,C4,B2,C4,C6,B2,-
REG2025_1485,Ngozi Okonkwo,Mathematics and Statistics,213,73,C6,B2,A1,C4,C4,C4,C5,A1,B3,C4,C4,Animal and Environmental Biology
REG2025_1486,Ifeanyi Okoro,Biochemistry,227,72,C6,C5,B3,B3,B2,A1,B2,C6,A1,B3,A1,Biochemistry
REG2025_1487,Blessing Ojo,Applied Physics,235,70,A1,B3,B3,C5,C6,B3,C4,C4,B2,C4,C6,Animal and Environmental Biology
REG2025_1488,Funmi Balogun,Physics,236,71,C5,B2,C5,B3,C5,A1,C4,C5,B3,C5,C4,Physics
REG2025_1489,Ifeanyi Okonkwo,Plant Science and Biotechnology,227,62,C5,A1,C6,C6,B2,C5,C4,A1,B2,B3,C6,Plant Science and Biotechnology
REG2025_1490,Chika Chukwu,Physics,223,71,C6,B3,C4,B3,C6,C5,C5,C5,C4,C4,C4,Physics
REG2025_1491,Uche Ibrahim,Microbiology,254,76,C5,C5,B3,A1,C4,C5,A1,C5,C4,A1,C6,Applied Physics
REG2025_1492,Uche Adewale,Microbiology,238,78,C6,C5,A1,A1,C5,B2,C4,B3,B3,B2,B2,Microbiology
REG2025_1493,Zainab Ibrahim,Computer Science,242,72,B2,A1,C5,B3,C5,A1,A1,B3,C5,B3,C5,Mathematics and Statistics
REG2025_1494,Funmi Ojo,Plant Science and Biotechnology,247,75,B3,B3,C5,C5,B2,B2,C6,C6,C5,B3,B2,Plant Science and Biotechnology
REG2025_1495,Aisha Okonkwo,Computer Science,188,47,E8,B3,E8,D7,E8,B2,B2,A1,C6,C5,C6,Physics
REG2025_1496,Uche Abubakar,Mathematics and Statistics,135,57,D7,C4,D7,F9,D7,A1,A1,B2,B3,C4,C5,Mathematics and Statistics
REG2025_1497,Ngozi Muhammed,Applied Physics,251,78,C5,C5,B3,B2,B3,C5,C6,B2,B3,C4,B2,Applied Physics
REG2025_1498,Chika Muhammed,Industrial Chemistry,250,77,B3,C6,C4,B3,B2,C6,B2,C6,B2,B3,C4,Industrial Chemistry
REG2025_1499,Seun Adeyemi,Plant Science and Biotechnology,212,66,C4,A1,B2,A1,C6,C6,C5,B2,C4,B2,B3,Plant Science and Biotechnology
REG2025_1500,Ngozi Adewale,Physics,244,71,B3,B2,B3,B2,B2,B3,B3,B2,B2,A1,C5,-
REG2025_1501,Ngozi Ojo,Computer Science,242,83,C4,C4,C6,A1,C5,B3,C4,C4,C6,A1,C6,-
REG2025_1502,Ifeanyi Chukwu,Microbiology,250,70,C6,B3,B2,C6,B2,C5,C6,C5,B3,C4,C4,Microbiology
REG2025_1503,Zainab Ojo,Applied Physics,194,43,E8,C4,F9,F9,D7,C5,C5,C4,C5,B3,B3,Applied Physics
REG2025_1504,Chika Okoro,Plant Science and Biotechnology,187,56,E8,C6,D7,E8,E8,C6,C4,C5,B2,C5,C5,Plant Science and Biotechnology
REG2025_1505,Funmi Ojo,Animal and Environmental Biology,211,69,C5,C5,C4,A1,C4,C4,C4,C4,C5,C4,A1,Plant Science and Biotechnology
REG2025_1506,Aisha Adeyemi,Plant Science and Biotechnology,146,30,F9,C4,F9,F9,F9,B2,B3,C6,B3,C5,B3,Plant Science and Biotechnology
REG2025_1507,Ngozi Abubakar,Industrial Chemistry,196,56,E8,C6,F9,D7,D7,C4,C5,C4,C6,C6,C5,Industrial Chemistry
REG2025_1508,Chika Chukwu,Computer Science,160,35,E8,C5,D7,F9,D7,C5,C6,A1,B2,A1,B3,Biochemistry
REG2025_1509,Zainab Ojo,Animal and Environmental Biology,136,33,D7,B2,F9,F9,E8,B3,B2,B3,B2,C6,C4,Plant Science and Biotechnology
REG2025_1510,Blessing Balogun,Plant Science and Biotechnology,212,67,B2,C4,C4,B3,C5,A1,C5,C5,B2,C4,A1,Plant Science and Biotechnology
REG2025_1511,Chika Muhammed,Physics,225,69,C5,C6,C6,C4,B2,C4,C6,B2,C5,C4,C5,Physics
REG2025_1512,Aisha Muhammed,Industrial Chemistry,242,77,B3,C4,B3,B3,B3,A1,B3,C5,C6,C6,B3,-
REG2025_1513,Uche Muhammed,Industrial Chemistry,180,37,F9,C5,D7,F9,F9,B3,A1,A1,B3,C4,B2,Industrial Chemistry
REG2025_1514,Blessing Ibrahim,Industrial Chemistry,124,42,E8,C5,F9,E8,F9,B3,C5,B2,B2,C5,C5,Plant Science and Biotechnology
REG2025_1515,Ngozi Muhammed,Microbiology,249,75,A1,A1,B2,C6,C5,A1,B2,C6,C5,C6,A1,Microbiology
REG2025_1516,Uche Adewale,Plant Science and Biotechnology,219,61,C5,B2,B3,B3,C4,B3,C4,B3,C5,B2,B2,Plant Science and Biotechnology
REG2025_1517,Chika Ojo,Mathematics and Statistics,234,68,C6,B3,C5,B2,A1,B3,A1,C6,C5,C6,C6,Mathematics and Statistics
REG2025_1518,Zainab Adewale,Computer Science,152,40,E8,B3,F9,F9,E8,C5,C6,B2,C6,C4,B3,Industrial Chemistry
REG2025_1519,Ifeanyi Adewale,Plant Science and Biotechnology,226,63,C4,B2,A1,C6,B3,C4,B3,B2,C6,C6,C4,Plant Science and Biotechnology
REG2025_1520,Chika Chukwu,Applied Physics,219,71,A1,B2,C5,B2,A1,B2,A1,A1,B2,C6,B3,Applied Physics
REG2025_1521,Ifeanyi Ibrahim,Physics,146,56,E8,A1,E8,F9,D7,B3,C6,C6,B3,C6,B3,Physics
REG2025_1522,Chika Chukwu,Plant Science and Biotechnology,226,68,A1,C6,B3,A1,C4,C4,B2,C5,A1,B2,C4,Plant Science and Biotechnology
REG2025_1523,Aisha Abubakar,Plant Science and Biotechnology,186,55,E8,C5,F9,D7,E8,C6,B2,B2,B2,C6,A1,-
REG2025_1524,Tunde Adewale,Microbiology,234,72,A1,B2,C4,C4,C5,C4,B3,B2,C6,A1,B3,Microbiology
REG2025_1525,Ifeanyi Adeyemi,Physics,228,75,C6,C5,C5,B2,C6,B3,C4,A1,C4,B3,A1,Physics
REG2025_1526,Uche Balogun,Physics,180,46,F9,C6,D7,E8,F9,B2,B3,B3,A1,A1,B2,Physics
REG2025_1527,Seun Chukwu,Industrial Chemistry,212,71,C5,A1,C5,A1,C5,C6,C6,B3,B2,C6,A1,Animal and Environmental Biology
REG2025_1528,Uche Adeyemi,Microbiology,242,72,C4,B2,A1,A1,A1,B2,C6,C5,A1,C5,B2,Mathematics and Statistics
REG2025_1529,Aisha Abubakar,Computer Science,266,80,B3,C4,C6,C5,C5,B3,A1,B2,C5,B2,A1,Animal and Environmental Biology
REG2025_1530,Zainab Adewale,Applied Physics,242,72,C5,B3,C4,C5,C6,B3,C5,A1,C4,A1,C4,Applied Physics
REG2025_1531,Blessing Adeyemi,Plant Science and Biotechnology,217,64,C4,B3,C5,A1,C6,A1,C4,B2,C6,C4,C5,Plant Science and Biotechnology
REG2025_1532,Seun Chukwu,Animal and Environmental Biology,151,56,F9,B2,D7,F9,F9,A1,B2,A1,B3,B2,C4,Animal and Environmental Biology
REG2025_1533,Zainab Okonkwo,Animal and Environmental Biology,192,31,E8,B2,D7,F9,F9,C5,B2,C5,C6,C4,C4,-
REG2025_1534,Tunde Chukwu,Industrial Chemistry,237,70,A1,A1,B2,C6,B3,B2,B3,C5,A1,C5,C6,Animal and Environmental Biology
REG2025_1535,Blessing Okonkwo,Animal and Environmental Biology,230,60,B2,A1,B3,B3,C5,B3,B2,C6,C5,A1,C5,Plant Science and Biotechnology
REG2025_1536,Aisha Chukwu,Biochemistry,161,50,F9,B2,E8,F9,F9,C4,C4,C5,C6,B3,A1,Biochemistry
REG2025_1537,Blessing Muhammed,Physics,194,42,D7,B3,F9,F9,E8,A1,C6,C5,C4,C5,C5,-
REG2025_1538,Ngozi Ibrahim,Mathematics and Statistics,221,74,C5,A1,A1,A1,A1,B3,C5,B3,C4,B2,C5,Animal and Environmental Biology
REG2025_1539,Ifeanyi Muhammed,Physics,241,76,B2,C6,B3,A1,C6,C6,C4,B2,A1,C6,C5,Mathematics and Statistics
REG2025_1540,Aisha Abubakar,Biochemistry,180,44,F9,C6,D7,F9,F9,B2,C5,C5,B2,C5,B3,Biochemistry
REG2025_1541,Ngozi Okonkwo,Mathematics and Statistics,184,55,E8,B2,F9,F9,F9,B2,C4,B2,C6,B2,C6,Mathematics and Statistics
REG2025_1542,Ngozi Okonkwo,Physics,230,70,A1,B3,C4,A1,C5,B2,A1,B3,B2,B3,A1,-
REG2025_1543,Ngozi Okonkwo,Computer Science,243,81,A1,B3,B3,B3,B3,B3,C4,B2,C6,C6,A1,Computer Science
REG2025_1544,Funmi Okoro,Physics,188,41,E8,C4,E8,F9,D7,B2,C4,B3,B3,B2,C4,Physics
REG2025_1545,Aisha Adewale,Physics,226,71,C5,B3,C6,B2,C6,C5,B2,C4,C4,A1,C6,Physics
REG2025_1546,Aisha Adewale,Computer Science,243,82,B3,C6,C5,C6,B2,C4,A1,B2,B2,A1,B3,Computer Science
REG2025_1547,Aisha Muhammed,Computer Science,236,72,C4,B3,C5,C6,C6,A1,C4,B3,A1,B2,C6,Applied Physics
REG2025_1548,Uche Ibrahim,Plant Science and Biotechnology,240,78,C5,A1,B2,C5,B2,C4,C6,A1,C4,B3,B2,Plant Science and Biotechnology
REG2025_1549,Aisha Adeyemi,Animal and Environmental Biology,213,60,C4,C5,C6,C5,C6,B3,C6,C5,A1,C5,C5,Plant Science and Biotechnology
REG2025_1550,Funmi Balogun,Microbiology,121,32,D7,B2,D7,F9,E8,C5,C5,C5,C6,C6,C6,Industrial Chemistry
REG2025_1551,Ngozi Okoro,Computer Science,255,76,A1,B2,B2,C5,B2,B2,C4,B3,A1,B3,C4,Animal and Environmental Biology
REG2025_1552,Zainab Ibrahim,Plant Science and Biotechnology,177,55,F9,C4,E8,E8,E8,B3,A1,C6,A1,B3,C4,Plant Science and Biotechnology
REG2025_1553,Aisha Adeyemi,Computer Science,230,72,C5,B3,B2,A1,A1,C6,A1,B3,B2,C4,C4,Microbiology
REG2025_1554,Ngozi Okoro,Computer Science,141,51,D7,A1,E8,D7,F9,B3,C5,B3,C5,C4,C5,Industrial Chemistry
REG2025_1555,Uche Ojo,Computer Science,257,81,B3,A1,C6,C6,B2,A1,B3,C6,B3,B3,C5,-
REG2025_1556,Chika Muhammed,Animal and Environmental Biology,253,78,C4,A1,C4,B3,B2,C6,C5,C4,C6,C5,A1,Animal and Environmental Biology
REG2025_1557,Zainab Ojo,Mathematics and Statistics,128,53,E8,B3,F9,D7,E8,C5,C4,C4,C4,C6,C4,Animal and Environmental Biology
REG2025_1558,Tunde Adeyemi,Animal and Environmental Biology,204,67,B3,B2,B2,B2,A1,B2,C6,B3,C5,C5,B2,Animal and Environmental Biology
REG2025_1559,Chika Ojo,Animal and Environmental Biology,206,69,A1,C4,C5,B3,A1,C5,C6,B2,C6,C5,C4,Animal and Environmental Biology
REG2025_1560,Ngozi Balogun,Plant Science and Biotechnology,162,34,E8,A1,E8,E8,F9,A1,C6,C4,A1,A1,C6,Plant Science and Biotechnology
REG2025_1561,Funmi Adewale,Microbiology,253,73,B2,B3,B2,B2,B2,C4,B3,C4,C4,B2,A1,Microbiology
REG2025_1562,Seun Balogun,Industrial Chemistry,131,47,F9,A1,E8,D7,F9,C4,C4,C5,C4,B2,A1,Industrial Chemistry
REG2025_1563,Uche Ibrahim,Industrial Chemistry,188,52,E8,B2,E8,E8,F9,B2,C6,C4,A1,C4,A1,Industrial Chemistry
REG2025_1564,Aisha Okonkwo,Plant Science and Biotechnology,213,62,A1,C5,B2,C6,B2,B2,A1,B2,C4,C4,C6,Plant Science and Biotechnology
REG2025_1565,Seun Chukwu,Animal and Environmental Biology,242,77,C6,C4,C5,C5,C5,A1,C5,C5,C6,A1,B2,Animal and Environmental Biology
REG2025_1566,Funmi Ojo,Biochemistry,156,37,F9,A1,D7,D7,F9,B3,C6,C6,C5,A1,C6,Biochemistry
REG2025_1567,Ifeanyi Abubakar,Physics,173,40,E8,B2,F9,F9,D7,B2,B3,B2,C6,C6,B3,Physics
REG2025_1568,Blessing Balogun,Physics,252,77,C6,C6,C4,C4,C4,C4,C6,C5,A1,C5,C4,-
REG2025_1569,Ifeanyi Okoro,Biochemistry,249,78,A1,C5,A1,B2,B3,B3,C6,B2,C6,B3,C6,Biochemistry
REG2025_1570,Tunde Adeyemi,Applied Physics,231,73,B3,C5,B3,A1,C4,C6,B2,C4,C5,A1,B3,Animal and Environmental Biology
REG2025_1571,Chika Adewale,Physics,241,75,C5,A1,C5,C5,A1,B2,B3,A1,C5,B3,C4,Industrial Chemistry
REG2025_1572,Ngozi Chukwu,Plant Science and Biotechnology,224,60,C4,C4,B3,C6,B3,C5,A1,A1,C5,B3,C5,Plant Science and Biotechnology
REG2025_1573,Aisha Ojo,Industrial Chemistry,230,73,A1,A1,C5,C4,C5,C5,A1,A1,C5,A1,C4,-
REG2025_1574,Seun Ibrahim,Industrial Chemistry,246,76,A1,C4,B2,B3,B3,B3,C6,C5,C6,C4,A1,Industrial Chemistry
REG2025_1575,Chika Chukwu,Plant Science and Biotechnology,226,65,B2,C5,B2,A1,C5,A1,B2,B3,C6,C6,B2,-
REG2025_1576,Ifeanyi Abubakar,Microbiology,243,77,A1,A1,A1,C5,A1,C5,C6,C6,C5,A1,C4,Industrial Chemistry
REG2025_1577,Uche Okonkwo,Industrial Chemistry,219,68,B3,A1,A1,B3,A1,B3,C4,B3,C6,A1,B3,Industrial Chemistry
REG2025_1578,Zainab Balogun,Industrial Chemistry,128,37,D7,C4,E8,D7,D7,B2,C5,C5,C5,B3,C5,Animal and Environmental Biology
