Registration No,Name,Preferred Course,UTME,Post-UTME,English,Maths,Physics,Chemistry,Biology,Agric,Geography,Economics,Literature,admitted_department
REG2025_0422,Ryan West-Holland,Physics,219,65,C4,C4,A1,A1,A1,A1,B2,B2,B2,Plant Science and Biotechnology
REG2025_0423,Dr Jeffrey Gould,Computer Science,234,60,C4,C4,C5,C5,C5,C5,C4,C4,C4,Animal and Environmental Biology
REG2025_0424,Kieran Cooper,Computer Science,231,69,B3,B3,C6,C6,C6,C6,C6,C6,C6,Plant Science and Biotechnology
REG2025_0425,Hannah Bird,Computer Science,239,74,B3,B3,B3,B3,B3,B3,C5,C5,C5,Biochemistry
REG2025_0426,Amy Doyle,Industrial Chemistry,209,60,C5,C5,C4,C4,C4,C4,A1,A1,A1,Animal and Environmental Biology
REG2025_0427,Frank Thomson,Physics,216,64,B3,B3,B2,B2,B2,B2,B2,B2,B2,Mathematics and Statistics
REG2025_0428,Amy Horton,Physics,215,67,B3,B3,C4,C4,C4,C4,C5,C5,C5,Applied Physics
REG2025_0429,Dr Gerard Adams,Industrial Chemistry,206,64,A1,A1,A1,A1,A1,A1,A1,A1,A1,Animal and Environmental Biology
REG2025_0430,Dr Alexander Day,Animal and Environmental Biology,202,60,A1,A1,C6,C6,C6,C6,B2,B2,B2,Plant Science and Biotechnology
REG2025_0431,Wendy Hughes,Biochemistry,224,69,B3,B3,C6,C6,C6,C6,C6,C6,C6,Physics
REG2025_0432,Mr Jeffrey May,Animal and Environmental Biology,202,60,C5,C5,C6,C6,C6,C6,C4,C4,C4,Plant Science and Biotechnology
REG2025_0433,Dr Conor Williams,Computer Science,201,68,B3,B3,C4,C4,C4,C4,C6,C6,C6,Plant Science and Biotechnology
REG2025_0434,Michael Murphy,Animal and Environmental Biology,200,60,B3,B3,B2,B2,B2,B2,C6,C6,C6,Plant Science and Biotechnology
REG2025_0435,Mrs Louise Fuller,Animal and Environmental Biology,144,46,E8,F9,E8,E8,E8,E8,C5,C5,C5,-
REG2025_0436,Nigel Jones,Applied Physics,206,64,A1,A1,C5,C5,C5,C5,B2,B2,B2,Mathematics and Statistics
REG2025_0437,Mr Hugh Walker,Microbiology,229,68,C4,C4,C4,C4,C4,C4,B3,B3,B3,Applied Physics
REG2025_0438,Kate Wright,Animal and Environmental Biology,202,60,B2,B2,C6,C6,C6,C6,C4,C4,C4,Plant Science and Biotechnology
REG2025_0439,Ann Ahmed,Physics,216,66,C6,C6,C4,C4,C4,C4,C5,C5,C5,Applied Physics
REG2025_0440,Marilyn Barnes-Woods,Applied Physics,210,64,B2,B2,C5,C5,C5,C5,C5,C5,C5,Animal and Environmental Biology
REG2025_0441,Jay Smith,Computer Science,239,70,B3,B3,B3,B3,B3,B3,C5,C5,C5,Biochemistry
REG2025_0442,Dawn Ashton,Animal and Environmental Biology,202,60,C6,C6,C5,C5,C5,C5,C4,C4,C4,Plant Science and Biotechnology
REG2025_0443,Philip Graham,Biochemistry,223,68,C5,C5,C6,C6,C6,C6,C4,C4,C4,Plant Science and Biotechnology
REG2025_0444,Mathew Watts,Computer Science,228,69,A1,A1,C5,C5,C5,C5,B2,B2,B2,Plant Science and Biotechnology
REG2025_0445,Denis Howe,Physics,206,65,C6,C6,C5,C5,C5,C5,B3,B3,B3,Plant Science and Biotechnology
REG2025_0446,Dr Charles Leach,Industrial Chemistry,204,61,A1,A1,B2,B2,B2,B2,B3,B3,B3,Animal and Environmental Biology
REG2025_0447,Gordon Bailey-Perry,Industrial Chemistry,208,64,B3,B3,A1,A1,A1,A1,B3,B3,B3,Mathematics and Statistics
REG2025_0448,Vanessa Jones,Biochemistry,207,67,C5,C5,B2,B2,B2,B2,C6,C6,C6,Mathematics and Statistics
REG2025_0449,Dr Adrian Jones,Biochemistry,222,68,C5,C5,C6,C6,C6,C6,A1,A1,A1,Industrial Chemistry
REG2025_0450,Ashley Graham-Kent,Applied Physics,206,62,C4,C4,C5,C5,C5,C5,C5,C5,C5,Plant Science and Biotechnology
REG2025_0451,Antony Sanderson,Biochemistry,208,66,B3,B3,C4,C4,C4,C4,C4,C4,C4,Plant Science and Biotechnology
REG2025_0452,Elliot Woodward,Industrial Chemistry,206,61,C5,C5,B3,B3,B3,B3,B2,B2,B2,Animal and Environmental Biology
REG2025_0453,Diane Palmer,Microbiology,224,68,C5,C5,B2,B2,B2,B2,C6,C6,C6,Industrial Chemistry
REG2025_0454,Dr Clifford Richards,Computer Science,131,50,F9,C4,E8,E8,E8,E8,C5,C5,C5,-
REG2025_0455,Dr Colin Hewitt,Physics,134,34,B3,E8,F9,F9,F9,F9,C4,C4,C4,-
REG2025_0456,Janice Smith,Microbiology,204,68,B3,B3,C5,C5,C5,C5,A1,A1,A1,Plant Science and Biotechnology
REG2025_0457,Alexander Mitchell,Microbiology,209,67,C4,C4,B3,B3,B3,B3,C6,C6,C6,Mathematics and Statistics
REG2025_0458,Dr Abigail Hicks,Mathematics and Statistics,176,39,B2,A1,E8,E8,E8,E8,C6,C6,C6,-
REG2025_0459,Dr Heather Hammond,Applied Physics,207,65,C5,C5,A1,A1,A1,A1,C5,C5,C5,Mathematics and Statistics
REG2025_0460,Mr Raymond Godfrey,Biochemistry,224,62,C6,C6,B2,B2,B2,B2,C5,C5,C5,Plant Science and Biotechnology
REG2025_0461,Mrs Amanda Baker,Applied Physics,211,64,A1,A1,C6,C6,C6,C6,A1,A1,A1,Mathematics and Statistics
REG2025_0462,Linda Gallagher,Applied Physics,210,62,C5,C5,C5,C5,C5,C5,A1,A1,A1,Plant Science and Biotechnology
REG2025_0463,Mr Eric Williams,Industrial Chemistry,204,60,C4,C4,A1,A1,A1,A1,B3,B3,B3,Plant Science and Biotechnology
REG2025_0464,Roger Barry,Physics,209,60,C6,C6,B3,B3,B3,B3,C6,C6,C6,Animal and Environmental Biology
REG2025_0465,Mrs Lynda Burns,Computer Science,222,74,A1,A1,C6,C6,C6,C6,C5,C5,C5,Plant Science and Biotechnology
REG2025_0466,Rachel Ellis-Taylor,Biochemistry,217,64,C4,C4,A1,A1,A1,A1,B3,B3,B3,Mathematics and Statistics
REG2025_0467,Patricia Day,Physics,204,60,A1,A1,C5,C5,C5,C5,A1,A1,A1,Plant Science and Biotechnology
REG2025_0468,Denis Hammond-Jones,Microbiology,221,69,A1,A1,B3,B3,B3,B3,A1,A1,A1,Applied Physics
REG2025_0469,Valerie Bibi,Microbiology,220,67,C5,C5,A1,A1,A1,A1,A1,A1,A1,Animal and Environmental Biology
REG2025_0470,Marie Wyatt-Hudson,Applied Physics,201,65,C4,C4,C5,C5,C5,C5,C5,C5,C5,Plant Science and Biotechnology
REG2025_0471,Kelly Harris,Microbiology,229,70,C6,C6,C5,C5,C5,C5,B2,B2,B2,Biochemistry
REG2025_0472,Lindsey Warner,Mathematics and Statistics,201,61,C5,C5,B2,B2,B2,B2,C4,C4,C4,Plant Science and Biotechnology
REG2025_0473,Bethan Adams-Jones,Applied Physics,208,65,A1,A1,A1,A1,A1,A1,B3,B3,B3,Plant Science and Biotechnology
REG2025_0474,Gail Williams-Wong,Industrial Chemistry,167,46,E8,D7,E8,E8,E8,E8,B2,B2,B2,-
REG2025_0475,Miss Irene Smith,Computer Science,211,63,B2,B2,B3,B3,B3,B3,B2,B2,B2,Plant Science and Biotechnology
REG2025_0476,Mr Robert Barker,Microbiology,178,49,F9,B3,D7,D7,D7,D7,C4,C4,C4,-
REG2025_0477,Jennifer Graham,Biochemistry,205,66,C6,C6,C5,C5,C5,C5,C6,C6,C6,Animal and Environmental Biology
REG2025_0478,Jasmine Marshall,Applied Physics,206,60,A1,A1,A1,A1,A1,A1,B2,B2,B2,Animal and Environmental Biology
REG2025_0479,Barry Williams,Biochemistry,204,63,C6,C6,B3,B3,B3,B3,B3,B3,B3,Animal and Environmental Biology
REG2025_0480,Miss Sara Griffiths,Biochemistry,210,64,C5,C5,B3,B3,B3,B3,C4,C4,C4,Plant Science and Biotechnology
REG2025_0481,Ms Michelle Clark,Biochemistry,205,67,C4,C4,A1,A1,A1,A1,B2,B2,B2,Animal and Environmental Biology
REG2025_0482,Dylan O'Neill,Biochemistry,223,69,C4,C4,C4,C4,C4,C4,C4,C4,C4,Mathematics and Statistics
REG2025_0483,Ronald Allen,Applied Physics,214,65,C6,C6,C6,C6,C6,C6,C5,C5,C5,Mathematics and Statistics
REG2025_0484,Jodie Hayes-Davies,Computer Science,220,72,B3,B3,C4,C4,C4,C4,C6,C6,C6,Applied Physics
REG2025_0485,Lynda Cunningham,Physics,209,64,A1,A1,A1,A1,A1,A1,C6,C6,C6,Plant Science and Biotechnology
REG2025_0486,Colin Lee-Smith,Microbiology,206,67,C6,C6,B3,B3,B3,B3,C5,C5,C5,Mathematics and Statistics
REG2025_0487,Andrea Taylor,Biochemistry,217,68,A1,A1,A1,A1,A1,A1,C6,C6,C6,Applied Physics
REG2025_0488,Paige Wright,Biochemistry,218,66,A1,A1,B3,B3,B3,B3,C6,C6,C6,Applied Physics
REG2025_0489,Sean Chapman,Industrial Chemistry,209,64,A1,A1,C4,C4,C4,C4,B2,B2,B2,Mathematics and Statistics
REG2025_0490,Ms Ann Gibbons,Biochemistry,212,69,B3,B3,C6,C6,C6,C6,A1,A1,A1,Mathematics and Statistics
REG2025_0491,Emily Brooks,Biochemistry,222,69,C6,C6,B2,B2,B2,B2,B2,B2,B2,Physics
REG2025_0492,Miss Beverley Davies,Physics,211,67,B3,B3,C5,C5,C5,C5,C5,C5,C5,Industrial Chemistry
REG2025_0493,Luke Roberts-Singh,Physics,212,63,B2,B2,B2,B2,B2,B2,A1,A1,A1,Animal and Environmental Biology
REG2025_0494,Mr Mohammad Martin,Physics,218,62,C5,C5,C6,C6,C6,C6,C6,C6,C6,Plant Science and Biotechnology
REG2025_0495,Lawrence Harvey,Animal and Environmental Biology,201,60,A1,A1,C6,C6,C6,C6,B3,B3,B3,Plant Science and Biotechnology
REG2025_0496,Dr Glen Jackson,Mathematics and Statistics,201,60,B3,B3,C5,C5,C5,C5,B2,B2,B2,Plant Science and Biotechnology
REG2025_0497,Hayley Wright,Physics,215,65,B2,B2,C5,C5,C5,C5,C6,C6,C6,Mathematics and Statistics
REG2025_0498,Kieran Elliott,Animal and Environmental Biology,201,60,B2,B2,C6,C6,C6,C6,B3,B3,B3,Plant Science and Biotechnology
REG2025_0499,Gordon Smith-Taylor,Computer Science,235,71,B3,B3,B2,B2,B2,B2,A1,A1,A1,Mathematics and Statistics
REG2025_0500,Catherine Hall,Biochemistry,216,67,B2,B2,B2,B2,B2,B2,A1,A1,A1,Industrial Chemistry
REG2025_0501,Paul Watkins,Applied Physics,210,65,C4,C4,A1,A1,A1,A1,C6,C6,C6,Industrial Chemistry
REG2025_0502,Rachael James,Computer Science,220,66,C6,C6,A1,A1,A1,A1,A1,A1,A1,Applied Physics
REG2025_0503,Marion Shaw,Physics,216,66,A1,A1,C5,C5,C5,C5,B3,B3,B3,Plant Science and Biotechnology
REG2025_0504,Katie Banks,Physics,214,60,C4,C4,B2,B2,B2,B2,C4,C4,C4,Plant Science and Biotechnology
REG2025_0505,Marcus Abbott,Industrial Chemistry,204,63,A1,A1,A1,A1,A1,A1,A1,A1,A1,Animal and Environmental Biology
REG2025_0506,Jane Coles,Animal and Environmental Biology,202,60,B2,B2,A1,A1,A1,A1,C5,C5,C5,Plant Science and Biotechnology
REG2025_0507,Laura O'Sullivan,Animal and Environmental Biology,200,60,A1,A1,C4,C4,C4,C4,A1,A1,A1,Plant Science and Biotechnology
REG2025_0508,Damien Roberts,Physics,212,64,B2,B2,C5,C5,C5,C5,B2,B2,B2,Animal and Environmental Biology
REG2025_0509,Dr Kimberley Hodgson,Animal and Environmental Biology,200,60,C6,C6,B3,B3,B3,B3,C4,C4,C4,Plant Science and Biotechnology
REG2025_0510,Dr Cameron Ryan,Animal and Environmental Biology,200,60,B2,B2,C6,C6,C6,C6,C6,C6,C6,Plant Science and Biotechnology
REG2025_0511,Rachel Stevenson-Evans,Industrial Chemistry,203,60,C4,C4,C5,C5,C5,C5,B2,B2,B2,Animal and Environmental Biology
REG2025_0512,Ruth Morgan,Physics,206,62,B2,B2,B2,B2,B2,B2,C4,C4,C4,Plant Science and Biotechnology
REG2025_0513,Alexander Ahmed,Biochemistry,223,68,C5,C5,A1,A1,A1,A1,A1,A1,A1,Plant Science and Biotechnology
REG2025_0514,Charlotte Clark-Woodward,Industrial Chemistry,204,63,C5,C5,A1,A1,A1,A1,C4,C4,C4,Animal and Environmental Biology
REG2025_0515,Mr James Thompson,Applied Physics,213,65,A1,A1,C6,C6,C6,C6,C6,C6,C6,Mathematics and Statistics
REG2025_0516,Gregory Cook,Mathematics and Statistics,202,61,B3,B3,C4,C4,C4,C4,B2,B2,B2,Plant Science and Biotechnology
REG2025_0517,Marc Cooper,Industrial Chemistry,208,63,C6,C6,A1,A1,A1,A1,B3,B3,B3,Animal and Environmental Biology
REG2025_0518,Billy Roberts-Chapman,Industrial Chemistry,206,64,A1,A1,C5,C5,C5,C5,C6,C6,C6,Mathematics and Statistics
REG2025_0519,Derek Matthews,Microbiology,205,67,A1,A1,B2,B2,B2,B2,C4,C4,C4,Mathematics and Statistics
REG2025_0520,Ms Dorothy Sharp,Biochemistry,223,68,B3,B3,B3,B3,B3,B3,B3,B3,B3,Physics
REG2025_0521,Gemma Stevens,Applied Physics,206,64,B2,B2,C6,C6,C6,C6,A1,A1,A1,Plant Science and Biotechnology
REG2025_0522,Mrs Kim Walker,Physics,207,66,A1,A1,C4,C4,C4,C4,C5,C5,C5,Animal and Environmental Biology
REG2025_0523,Denis Pearson,Applied Physics,212,65,B2,B2,C6,C6,C6,C6,B3,B3,B3,Industrial Chemistry
REG2025_0524,Sian Dale,Physics,207,67,B2,B2,A1,A1,A1,A1,C6,C6,C6,Animal and Environmental Biology
REG2025_0525,Mr Connor Tyler,Mathematics and Statistics,204,63,B2,B2,B3,B3,B3,B3,C4,C4,C4,Animal and Environmental Biology
REG2025_0526,Reece Jones-Thomson,Physics,219,66,B2,B2,C5,C5,C5,C5,C4,C4,C4,Applied Physics
REG2025_0527,Mrs Amelia Payne,Physics,215,66,C6,C6,C6,C6,C6,C6,C5,C5,C5,Industrial Chemistry
REG2025_0528,Dr Gregory Thompson,Applied Physics,212,65,B3,B3,A1,A1,A1,A1,B2,B2,B2,Industrial Chemistry
REG2025_0529,Joanna Smith,Computer Science,213,66,B3,B3,B3,B3,B3,B3,B3,B3,B3,Mathematics and Statistics
REG2025_0530,Melanie Nixon-Green,Physics,218,66,C5,C5,C6,C6,C6,C6,C5,C5,C5,Applied Physics
REG2025_0531,Christine Robson,Microbiology,216,68,C4,C4,C6,C6,C6,C6,C5,C5,C5,Industrial Chemistry
REG2025_0532,Mrs Clare Haynes,Mathematics and Statistics,203,62,B2,B2,A1,A1,A1,A1,C4,C4,C4,Animal and Environmental Biology
REG2025_0533,Helen Griffin,Biochemistry,224,69,C4,C4,C6,C6,C6,C6,B3,B3,B3,Applied Physics
REG2025_0534,Joel Mann,Industrial Chemistry,206,64,A1,A1,C6,C6,C6,C6,A1,A1,A1,Mathematics and Statistics
REG2025_0535,Miss Shirley Brooks,Animal and Environmental Biology,200,60,C6,C6,B3,B3,B3,B3,B2,B2,B2,Plant Science and Biotechnology
REG2025_0536,Ruth Clarke,Animal and Environmental Biology,200,60,B2,B2,C4,C4,C4,C4,A1,A1,A1,Plant Science and Biotechnology
REG2025_0537,Laura King,Industrial Chemistry,208,64,B3,B3,B3,B3,B3,B3,C4,C4,C4,Mathematics and Statistics
REG2025_0538,Douglas Smith-May,Biochemistry,220,68,C6,C6,C5,C5,C5,C5,C6,C6,C6,Physics
REG2025_0539,Megan Hayes,Applied Physics,208,65,B2,B2,B2,B2,B2,B2,C5,C5,C5,Plant Science and Biotechnology
REG2025_0540,Mrs Shannon Bryan,Biochemistry,219,67,C4,C4,C5,C5,C5,C5,C6,C6,C6,Plant Science and Biotechnology
REG2025_0541,Dr Steven King,Mathematics and Statistics,204,61,B2,B2,A1,A1,A1,A1,C5,C5,C5,Animal and Environmental Biology
REG2025_0542,Sharon Jones,Computer Science,218,71,C5,C5,C4,C4,C4,C4,C6,C6,C6,Industrial Chemistry
REG2025_0543,Sam Morgan,Mathematics and Statistics,203,61,B2,B2,C6,C6,C6,C6,C4,C4,C4,Animal and Environmental Biology
REG2025_0544,Maurice Turner-Matthews,Animal and Environmental Biology,202,60,A1,A1,B2,B2,B2,B2,C5,C5,C5,Plant Science and Biotechnology
REG2025_0545,Jonathan Grant,Applied Physics,202,63,C5,C5,C4,C4,C4,C4,B2,B2,B2,Plant Science and Biotechnology
REG2025_0546,Elizabeth Dawson-Fisher,Computer Science,221,69,C5,C5,C4,C4,C4,C4,B3,B3,B3,Physics
REG2025_0547,Ms Rosie Williams,Applied Physics,143,40,F9,B3,E8,E8,E8,E8,A1,A1,A1,-
REG2025_0548,Helen Thompson,Physics,202,67,A1,A1,C4,C4,C4,C4,B2,B2,B2,Plant Science and Biotechnology
REG2025_0549,Marie Lane,Applied Physics,214,65,C4,C4,C5,C5,C5,C5,B2,B2,B2,Industrial Chemistry
REG2025_0550,Steven Sims,Computer Science,215,69,B2,B2,C4,C4,C4,C4,C6,C6,C6,Mathematics and Statistics
REG2025_0551,Denise Jones,Biochemistry,217,66,C6,C6,B3,B3,B3,B3,C4,C4,C4,Animal and Environmental Biology
REG2025_0552,Daniel Armstrong,Physics,219,62,C6,C6,B2,B2,B2,B2,A1,A1,A1,Animal and Environmental Biology
REG2025_0553,Kevin Bird,Applied Physics,204,65,C6,C6,B3,B3,B3,B3,A1,A1,A1,Plant Science and Biotechnology
REG2025_0554,Cameron Kent,Animal and Environmental Biology,202,60,A1,A1,A1,A1,A1,A1,A1,A1,A1,Plant Science and Biotechnology
REG2025_0555,Sylvia Humphreys,Mathematics and Statistics,127,31,B2,F9,D7,D7,D7,D7,B2,B2,B2,-
REG2025_0556,Miss Katherine Scott,Industrial Chemistry,201,63,A1,A1,B2,B2,B2,B2,C4,C4,C4,Plant Science and Biotechnology
REG2025_0557,Aaron Barlow-Hurst,Computer Science,230,70,C6,C6,B2,B2,B2,B2,B3,B3,B3,Applied Physics
REG2025_0558,Miss Linda Stephenson,Plant Science and Biotechnology,168,45,C6,E8,F9,F9,F9,F9,C5,C5,C5,-
REG2025_0559,Dr Jacob Brown,Physics,214,61,A1,A1,C6,C6,C6,C6,B3,B3,B3,Animal and Environmental Biology
REG2025_0560,Steven Shaw-Harvey,Biochemistry,217,69,B3,B3,B2,B2,B2,B2,A1,A1,A1,Mathematics and Statistics
REG2025_0561,Charlotte Davey,Computer Science,223,72,A1,A1,B2,B2,B2,B2,A1,A1,A1,Industrial Chemistry
REG2025_0562,Ms Karen Hill,Computer Science,227,64,C6,C6,C4,C4,C4,C4,C4,C4,C4,Plant Science and Biotechnology
REG2025_0563,Terry Roberts,Applied Physics,169,40,D7,F9,D7,D7,D7,D7,B3,B3,B3,-
REG2025_0564,Mr Gordon Bull,Microbiology,229,65,B2,B2,C4,C4,C4,C4,B2,B2,B2,Animal and Environmental Biology
REG2025_0565,Mrs Hazel Wood,Mathematics and Statistics,152,42,E8,A1,D7,D7,D7,D7,A1,A1,A1,-
REG2025_0566,Dr Colin Howe,Animal and Environmental Biology,200,60,C6,C6,B2,B2,B2,B2,C6,C6,C6,Plant Science and Biotechnology
REG2025_0567,Malcolm Fisher,Industrial Chemistry,204,64,C5,C5,A1,A1,A1,A1,B2,B2,B2,Animal and Environmental Biology
REG2025_0568,Miss Aimee James,Industrial Chemistry,205,60,C5,C5,C6,C6,C6,C6,B2,B2,B2,Animal and Environmental Biology
REG2025_0569,Liam Edwards,Applied Physics,205,65,B3,B3,C5,C5,C5,C5,A1,A1,A1,Mathematics and Statistics
REG2025_0570,Ryan Howells,Biochemistry,215,68,A1,A1,A1,A1,A1,A1,B3,B3,B3,Applied Physics
REG2025_0571,Kyle Finch,Industrial Chemistry,208,64,C6,C6,B2,B2,B2,B2,B2,B2,B2,Mathematics and Statistics
REG2025_0572,Mohamed Walsh,Biochemistry,205,61,C4,C4,C4,C4,C4,C4,C4,C4,C4,Plant Science and Biotechnology
REG2025_0573,Lucy Armstrong,Biochemistry,200,65,B2,B2,B3,B3,B3,B3,C6,C6,C6,Plant Science and Biotechnology
REG2025_0574,Dr Craig Francis,Industrial Chemistry,209,64,C6,C6,B2,B2,B2,B2,C4,C4,C4,Mathematics and Statistics
REG2025_0575,Robert Jones,Physics,205,64,C4,C4,B2,B2,B2,B2,B3,B3,B3,Mathematics and Statistics
REG2025_0576,Roy Higgins,Industrial Chemistry,203,62,C4,C4,C4,C4,C4,C4,C4,C4,C4,Animal and Environmental Biology
REG2025_0577,Albert Robinson,Computer Science,157,35,C5,A1,D7,D7,D7,D7,B3,B3,B3,-
REG2025_0578,Mr Clifford Bray,Industrial Chemistry,204,64,B2,B2,A1,A1,A1,A1,C6,C6,C6,Animal and Environmental Biology
REG2025_0579,Sylvia King,Microbiology,225,67,B3,B3,C6,C6,C6,C6,C4,C4,C4,Mathematics and Statistics
REG2025_0580,Kim Hussain,Animal and Environmental Biology,166,39,E8,A1,E8,E8,E8,E8,B2,B2,B2,-
REG2025_0581,Elliot Holmes-Coleman,Microbiology,224,68,B2,B2,B3,B3,B3,B3,B3,B3,B3,Applied Physics
REG2025_0582,Eileen Hill-Ball,Industrial Chemistry,205,64,C6,C6,B3,B3,B3,B3,B2,B2,B2,Mathematics and Statistics
REG2025_0583,Helen Watts-Brown,Microbiology,160,43,C5,C4,E8,E8,E8,E8,A1,A1,A1,-
REG2025_0584,Darren Riley,Applied Physics,206,64,C6,C6,A1,A1,A1,A1,C4,C4,C4,Animal and Environmental Biology
REG2025_0585,Amy Flynn,Industrial Chemistry,208,62,B2,B2,B2,B2,B2,B2,A1,A1,A1,Animal and Environmental Biology
REG2025_0586,Glenn Turner,Industrial Chemistry,209,64,C5,C5,B2,B2,B2,B2,A1,A1,A1,Mathematics and Statistics
REG2025_0587,Louis Jones,Mathematics and Statistics,202,61,C4,C4,A1,A1,A1,A1,C4,C4,C4,Plant Science and Biotechnology
REG2025_0588,Miss Lisa Ryan,Computer Science,210,64,B2,B2,A1,A1,A1,A1,C5,C5,C5,Mathematics and Statistics
REG2025_0589,Mr Terence Burton,Physics,205,63,C6,C6,B2,B2,B2,B2,C5,C5,C5,Animal and Environmental Biology
REG2025_0590,Gary Young,Mathematics and Statistics,203,62,C6,C6,C4,C4,C4,C4,C6,C6,C6,Animal and Environmental Biology
REG2025_0591,Dr Raymond Thompson,Mathematics and Statistics,201,60,C6,C6,C4,C4,C4,C4,B2,B2,B2,Plant Science and Biotechnology
REG2025_0592,Miss Elaine Wallis,Computer Science,230,70,C6,C6,C5,C5,C5,C5,A1,A1,A1,Biochemistry
REG2025_0593,Bradley Fisher,Computer Science,230,64,C5,C5,C6,C6,C6,C6,B2,B2,B2,Plant Science and Biotechnology
REG2025_0594,Molly Williams,Applied Physics,202,61,A1,A1,A1,A1,A1,A1,B3,B3,B3,Plant Science and Biotechnology
REG2025_0595,Gordon Hamilton,Industrial Chemistry,208,64,B2,B2,C4,C4,C4,C4,A1,A1,A1,Mathematics and Statistics
REG2025_0596,Andrew Robinson,Mathematics and Statistics,202,61,B3,B3,C5,C5,C5,C5,A1,A1,A1,Plant Science and Biotechnology
REG2025_0597,Stuart Dawson-Gill,Biochemistry,203,62,C5,C5,C5,C5,C5,C5,B2,B2,B2,Plant Science and Biotechnology
REG2025_0598,Ms Ellie Bradley,Industrial Chemistry,205,64,A1,A1,C5,C5,C5,C5,C5,C5,C5,Mathematics and Statistics
REG2025_0599,Ryan Carr,Biochemistry,210,68,B2,B2,C5,C5,C5,C5,A1,A1,A1,Mathematics and Statistics
REG2025_0600,Katie Ellis-Barnes,Animal and Environmental Biology,200,60,C4,C4,C5,C5,C5,C5,A1,A1,A1,Plant Science and Biotechnology
REG2025_0601,Shaun Evans,Applied Physics,207,60,B3,B3,C4,C4,C4,C4,C5,C5,C5,Plant Science and Biotechnology
REG2025_0602,Steven Jones,Applied Physics,205,65,B2,B2,B2,B2,B2,B2,C5,C5,C5,Plant Science and Biotechnology
REG2025_0603,Daniel Johnson,Animal and Environmental Biology,201,60,B2,B2,B2,B2,B2,B2,C5,C5,C5,Plant Science and Biotechnology
REG2025_0604,Mr Mohammad Oliver,Applied Physics,148,31,D7,F9,F9,F9,F9,F9,C5,C5,C5,-
REG2025_0605,Dr Billy Hopkins,Applied Physics,213,65,A1,A1,C6,C6,C6,C6,C5,C5,C5,Industrial Chemistry
REG2025_0606,Clifford Robinson,Mathematics and Statistics,203,62,C4,C4,C6,C6,C6,C6,C5,C5,C5,Plant Science and Biotechnology
REG2025_0607,Miss Irene Jones,Mathematics and Statistics,202,63,C6,C6,C5,C5,C5,C5,A1,A1,A1,Plant Science and Biotechnology
REG2025_0608,Gerald Murphy,Mathematics and Statistics,203,61,B2,B2,B2,B2,B2,B2,C4,C4,C4,Animal and Environmental Biology
REG2025_0609,Dr Gary Barton,Computer Science,237,61,C5,C5,B2,B2,B2,B2,A1,A1,A1,Plant Science and Biotechnology
REG2025_0610,Karl Sharp,Biochemistry,212,66,C6,C6,C4,C4,C4,C4,C4,C4,C4,Industrial Chemistry
REG2025_0611,Ruth Simpson-Smith,Computer Science,233,70,C4,C4,A1,A1,A1,A1,C4,C4,C4,Microbiology
REG2025_0612,Dr Harry Porter,Mathematics and Statistics,202,63,C5,C5,B3,B3,B3,B3,C5,C5,C5,Plant Science and Biotechnology
REG2025_0613,Mr Luke Goodwin,Microbiology,219,66,C6,C6,B2,B2,B2,B2,B3,B3,B3,Applied Physics
REG2025_0614,Jeffrey Spencer,Applied Physics,208,64,C6,C6,C4,C4,C4,C4,B3,B3,B3,Mathematics and Statistics
REG2025_0615,Mrs Jade Atkinson,Computer Science,232,61,C6,C6,C5,C5,C5,C5,A1,A1,A1,Animal and Environmental Biology
REG2025_0616,Samantha O'Connor,Computer Science,222,72,C4,C4,C5,C5,C5,C5,C5,C5,C5,Physics
REG2025_0617,Dr Martyn Holden,Physics,218,65,A1,A1,C5,C5,C5,C5,C4,C4,C4,Mathematics and Statistics
REG2025_0618,Harry Hall,Applied Physics,213,65,B3,B3,B3,B3,B3,B3,C6,C6,C6,Industrial Chemistry
REG2025_0619,Nicole Griffiths,Biochemistry,210,67,C4,C4,B2,B2,B2,B2,C6,C6,C6,Mathematics and Statistics
REG2025_0620,Allan Vincent-Kennedy,Animal and Environmental Biology,136,39,D7,E8,E8,E8,E8,E8,C5,C5,C5,-
REG2025_0621,Ms Kayleigh Smart,Computer Science,220,62,A1,A1,B3,B3,B3,B3,B2,B2,B2,Plant Science and Biotechnology
REG2025_0622,Natasha Andrews,Applied Physics,159,36,B2,D7,D7,D7,D7,D7,C4,C4,C4,-
REG2025_0623,Lynn Johnson,Industrial Chemistry,202,64,C6,C6,A1,A1,A1,A1,C4,C4,C4,Plant Science and Biotechnology
REG2025_0624,Katie Bates,Applied Physics,212,60,B3,B3,B3,B3,B3,B3,A1,A1,A1,Animal and Environmental Biology
REG2025_0625,Victor Wright,Biochemistry,221,69,C6,C6,C5,C5,C5,C5,B2,B2,B2,Physics
REG2025_0626,Ruth Hobbs,Mathematics and Statistics,200,63,B3,B3,C6,C6,C6,C6,C5,C5,C5,Plant Science and Biotechnology
REG2025_0627,Samantha Martin,Microbiology,226,68,B3,B3,B2,B2,B2,B2,C6,C6,C6,Physics
REG2025_0628,Mrs Jayne Heath,Biochemistry,211,65,C6,C6,B2,B2,B2,B2,C5,C5,C5,Mathematics and Statistics
REG2025_0629,Charlene Brown,Computer Science,233,72,A1,A1,B3,B3,B3,B3,B2,B2,B2,Biochemistry
